meh	f11a
gamepad	f11b
keyboard	f11c
flag_alt	f11d
flag_checkered	f11e
terminal	f120
code	f121
reply_all	f122
star_half_empty	f123
location_arrow	f124
crop	f125
code_fork	f126
unlink	f127
question	f128
_279	f129
exclamation	f12a
superscript	f12b
subscript	f12c
_283	f12d
puzzle_piece	f12e
microphone	f130
microphone_off	f131
shield	f132
calendar_empty	f133
fire_extinguisher	f134
rocket	f135
maxcdn	f136
chevron_sign_left	f137
chevron_sign_right	f138
chevron_sign_up	f139
chevron_sign_down	f13a
html5	f13b
css3	f13c
anchor	f13d
unlock_alt	f13e
bullseye	f140
ellipsis_horizontal	f141
ellipsis_vertical	f142
_303	f143
play_sign	f144
ticket	f145
minus_sign_alt	f146
check_minus	f147
level_up	f148
level_down	f149
check_sign	f14a
edit_sign	f14b
_312	f14c
share_sign	f14d
compass	f14e
collapse	f150
collapse_top	f151
_317	f152
eur	f153
gbp	f154
usd	f155
inr	f156
jpy	f157
rub	f158
krw	f159
btc	f15a
file	f15b
file_text	f15c
sort_by_alphabet	f15d
_329	f15e
sort_by_attributes	f160
sort_by_attributes_alt	f161
sort_by_order	f162
sort_by_order_alt	f163
_334	f164
_335	f165
youtube_sign	f166
youtube	f167
xing	f168
xing_sign	f169
youtube_play	f16a
dropbox	f16b
stackexchange	f16c
instagram	f16d
flickr	f16e
adn	f170
f171	f171
bitbucket_sign	f172
tumblr	f173
tumblr_sign	f174
long_arrow_down	f175
long_arrow_up	f176
long_arrow_left	f177
long_arrow_right	f178
apple	f179
windows	f17a
android	f17b
linux	f17c
dribble	f17d
skype	f17e
foursquare	f180
trello	f181
female	f182
male	f183
gittip	f184
sun	f185
_366	f186
archive	f187
bug	f188
vk	f189
weibo	f18a
renren	f18b
_372	f18c
stack_exchange	f18d
_374	f18e
arrow_circle_alt_left	f190
_376	f191
dot_circle_alt	f192
_378	f193
vimeo_square	f194
_380	f195
plus_square_o	f196
_382	f197
_383	f198
_384	f199
_385	f19a
_386	f19b
_387	f19c
_388	f19d
_389	f19e
uniF1A0	f1a0
f1a1	f1a1
_392	f1a2
_393	f1a3
f1a4	f1a4
_395	f1a5
_396	f1a6
_397	f1a7
_398	f1a8
_399	f1a9
_400	f1aa
f1ab	f1ab
_402	f1ac
_403	f1ad
_404	f1ae
uniF1B1	f1b0
_406	f1b1
_407	f1b2
_408	f1b3
_409	f1b4
_410	f1b5
_411	f1b6
_412	f1b7
_413	f1b8
_414	f1b9
_415	f1ba
_416	f1bb
_417	f1bc
_418	f1bd
_419	f1be
uniF1C0	f1c0
uniF1C1	f1c1
_422	f1c2
_423	f1c3
_424	f1c4
_425	f1c5
_426	f1c6
_427	f1c7
_428	f1c8
_429	f1c9
_430	f1ca
_431	f1cb
_432	f1cc
_433	f1cd
_434	f1ce
uniF1D0	f1d0
uniF1D1	f1d1
uniF1D2	f1d2
_438	f1d3
_439	f1d4
uniF1D5	f1d5
uniF1D6	f1d6
uniF1D7	f1d7
_443	f1d8
_444	f1d9
_445	f1da
_446	f1db
_447	f1dc
_448	f1dd
_449	f1de
